cluster_id,post_id,latitude,longitude,street_name,street_num,blockface_id,cap_color,schedule_hash
C00001,102-02990,37.7832753,-122.4602135,02ND AVE,299,102021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00002,102-03910,37.7815911,-122.4600918,02ND AVE,391,102031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00002,102-03920,37.7816227,-122.4599562,02ND AVE,392,102032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00002,102-03930,37.7815238,-122.460087,02ND AVE,393,102031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00002,102-03940,37.7815639,-122.4599519,02ND AVE,394,102032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00002,102-03950,37.781471,-122.4600831,02ND AVE,395,102031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00002,102-03960,37.7815182,-122.4599486,02ND AVE,396,102032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00002,102-03970,37.7814018,-122.4600781,02ND AVE,397,102031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00002,440-38020,37.7813404,-122.4601917,GEARY BLVD,"3,802",440382,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00002,440-38040,37.7813373,-122.460261,GEARY BLVD,"3,804",440382,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00002,440-38060,37.7813344,-122.4603249,GEARY BLVD,"3,806",440382,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00003,102-04010,37.780989,-122.4600544,02ND AVE,401,102041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00003,102-04030,37.7809044,-122.4600481,02ND AVE,403,102041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00003,440-38030,37.7810682,-122.4601884,GEARY BLVD,"3,803",440381,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00003,440-38050,37.7810651,-122.4602584,GEARY BLVD,"3,805",440381,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00003,440-38070,37.7810621,-122.460324,GEARY BLVD,"3,807",440381,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00003,440-38110,37.7810542,-122.4604983,GEARY BLVD,"3,811",440381,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00004,103-02870,37.78342545,-122.4612984,03RD AVE,287,103021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00004,103-02890,37.78338307,-122.4612957,03RD AVE,289,103021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00004,103-02910,37.78334452,-122.4612935,03RD AVE,291,103021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00004,103-02950,37.78330504,-122.4612918,03RD AVE,295,103021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00004,103-02970,37.78327315,-122.461289,03RD AVE,297,103021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,103-03010,37.7829114,-122.4612637,03RD AVE,301,103031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,103-03030,37.78286174,-122.4612602,03RD AVE,303,103031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,103-03060,37.7829524,-122.4611287,03RD AVE,306,103032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,103-03080,37.7829153,-122.461126,03RD AVE,308,103032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,103-03100,37.782879,-122.4611234,03RD AVE,310,103032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,103-03120,37.7828454,-122.461121,03RD AVE,312,103032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,103-03140,37.7828068,-122.4611182,03RD AVE,314,103032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,103-03160,37.7827705,-122.4611156,03RD AVE,316,103032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,103-03180,37.78271763,-122.4611118,03RD AVE,318,103032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,104-02810,37.7834835,-122.4623817,04TH AVE,281,104021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,104-02830,37.783444,-122.462379,04TH AVE,283,104021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,104-02850,37.7834047,-122.4623762,04TH AVE,285,104021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,104-02870,37.783369,-122.4623737,04TH AVE,287,104021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,104-02880,37.7833995,-122.462237,04TH AVE,288,104022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,104-02890,37.7833313,-122.4623711,04TH AVE,289,104021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,104-02900,37.7833472,-122.4622333,04TH AVE,290,104022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,104-02910,37.7832966,-122.4623687,04TH AVE,291,104021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,104-02920,37.7833024,-122.4622302,04TH AVE,292,104022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,104-02930,37.78326,-122.4623661,04TH AVE,293,104021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,104-02940,37.7832392,-122.4622258,04TH AVE,294,104022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,104-02950,37.783223,-122.4623635,04TH AVE,295,104021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,104-02970,37.7831876,-122.4623611,04TH AVE,297,104021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01030,37.7830635,-122.460284,CLEMENT ST,103,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01050,37.7830614,-122.46033,CLEMENT ST,105,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01060,37.7832038,-122.4604691,CLEMENT ST,106,360012,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01070,37.7830594,-122.4603729,CLEMENT ST,107,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01080,37.7832006,-122.4605381,CLEMENT ST,108,360012,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01090,37.7830575,-122.4604152,CLEMENT ST,109,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01100,37.7831978,-122.4605994,CLEMENT ST,110,360012,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01120,37.7831946,-122.4606681,CLEMENT ST,112,360012,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01130,37.7830536,-122.4604994,CLEMENT ST,113,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01150,37.7830516,-122.4605432,CLEMENT ST,115,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01160,37.78318789,-122.4608154,CLEMENT ST,116,360012,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01170,37.7830499,-122.460581,CLEMENT ST,117,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01190,37.7830479,-122.4606237,CLEMENT ST,119,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01210,37.783046,-122.4606664,CLEMENT ST,121,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01230,37.783044,-122.4607086,CLEMENT ST,123,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01250,37.7830419,-122.4607544,CLEMENT ST,125,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01270,37.7830398,-122.4608012,CLEMENT ST,127,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01290,37.7830377,-122.460847,CLEMENT ST,129,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01310,37.7830355,-122.4608943,CLEMENT ST,131,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01330,37.7830334,-122.4609406,CLEMENT ST,133,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01350,37.7830314,-122.4609824,CLEMENT ST,135,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-01370,37.7830296,-122.4610223,CLEMENT ST,137,360011,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02010,37.7830139,-122.4613639,CLEMENT ST,201,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02030,37.7830115,-122.4614154,CLEMENT ST,203,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02050,37.7830096,-122.4614568,CLEMENT ST,205,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02070,37.783008,-122.4614923,CLEMENT ST,207,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02080,37.7831513,-122.4616127,CLEMENT ST,208,360022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02090,37.7830064,-122.4615263,CLEMENT ST,209,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02100,37.7831486,-122.4616729,CLEMENT ST,210,360022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02110,37.7830047,-122.4615629,CLEMENT ST,211,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02170,37.7829998,-122.4616696,CLEMENT ST,217,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02180,37.7831391,-122.4618791,CLEMENT ST,218,360022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02190,37.7829981,-122.4617069,CLEMENT ST,219,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02200,37.783136,-122.4619465,CLEMENT ST,220,360022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02220,37.7831317,-122.4620404,CLEMENT ST,222,360022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02230,37.7829949,-122.4617774,CLEMENT ST,223,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02240,37.7831282,-122.4621156,CLEMENT ST,224,360022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02250,37.7829931,-122.461816,CLEMENT ST,225,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02270,37.7829915,-122.4618499,CLEMENT ST,227,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02290,37.7829897,-122.4618892,CLEMENT ST,229,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00006,103-13600,37.7633168,-122.4597483,03RD AVE,"1,360",103132,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00006,103-13620,37.7632985,-122.4597471,03RD AVE,"1,362",103132,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00006,103-13640,37.7632735,-122.4597453,03RD AVE,"1,364",103132,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00006,103-13660,37.7632527,-122.4597439,03RD AVE,"1,366",103132,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
